1,A Bathing Ape,A Bathing Ape A Bathing Ape for women and men,woody,130,balsamic,91,powdery,78,warm spicy,52,,,,,1,1,25,25,100,25,50,50,0
2,A Dozen Roses,Amber Queen A Dozen Roses for women,citrus,130,rose,122,fruity,106,fresh spicy,70,sweet,64,amber,61,35,100,23,14,35,29,32,44,
3,A Dozen Roses,Angel Face A Dozen Roses for women,floral,130,woody,114,aromatic,102,rose,99,fruity,89,,,64,100,29,22,38,51,54,51,
4,A Dozen Roses,Electron A Dozen Roses for women,ozonic,130,green,125,rose,93,musky,73,aquatic,59,,,66,80,100,33,80,86,33,93,
5,A Dozen Roses,Gold Rush A Dozen Roses for women,sweet,130,woody,105,rose,78,yellow floral,74,cacao,67,warm spicy,67,90,100,23,60,46,43,70,53,
6,A Dozen Roses,Iced White A Dozen Roses for women,floral,130,rose,76,musky,50,fresh,49,fruity,33,,,92,100,69,46,69,53,53,84,
7,A Dozen Roses,Shakespeare in Love A Dozen Roses for women,white floral,130,rose,109,vanilla,77,woody,62,fruity,60,sweet,55,34,100,61,34,50,42,38,65,
8,A La Russe,Rouge A La Russe for women,vanilla,130,amber,65,balsamic,52,fresh spicy,49,powdery,39,,,1,1,1,1,1,1,1,1,
9,A Lab on Fire,Almost Transparent Blue A Lab on Fire for women and men,citrus,130,woody,90,fresh spicy,81,aromatic,79,herbal,57,aldehydic,54,84,75,18,30,84,96,36,100,
10,A Lab on Fire,Eau d`Ipanema A Lab on Fire for women and men,sweet,130,fruity,106,tropical,71,white floral,64,citrus,63,,,44,100,33,1,66,88,11,88,
11,A Lab on Fire,L'Anonyme ou OP-1475-A A Lab on Fire for women and men,fresh spicy,130,aromatic,96,woody,78,citrus,75,leather,46,,,79,100,25,20,66,43,41,69,
12,A Lab on Fire,Liquidnight A Lab on Fire for women and men,aromatic,130,fresh spicy,86,balsamic,78,woody,76,citrus,69,vanilla,63,100,74,30,38,28,23,52,37,
14,A Lab on Fire,Messy Sexy Just Rolled out of Bed A Lab on Fire for women and men,vanilla,130,sweet,127,floral,115,balsamic,89,powdery,88,aromatic,81,100,60,10,40,30,20,60,70,
15,A Lab on Fire,My Own Private Teahupo'o A Lab on Fire for women and men,vanilla,130,amber,121,white floral,109,salty,83,fruity,64,,,1,33,1,66,66,66,100,66,
16,A Lab on Fire,Oxymusc A Lab on Fire for women and men,floral,130,aromatic,109,herbal,89,fresh spicy,83,vanilla,71,musky,71,20,20,100,40,40,20,40,40,
17,A Lab on Fire,Paris*L.A. A Lab on Fire for women and men,coca-cola,130,sweet,128,citrus,99,fresh spicy,98,gourmand,55,,,100,64,45,32,29,18,32,43,
18,A Lab on Fire,Rose Rebelle A Lab on Fire for women,cacao,130,rose,121,warm spicy,78,sweet,52,floral,12,,,33,88,100,55,22,22,55,55,
19,A Lab on Fire,Rose Rebelle Respawn A Lab on Fire for women,warm spicy,130,green,120,cacao,91,rose,86,floral,73,,,100,52,76,35,29,23,47,41,
20,A Lab on Fire,Sweet Dreams 2003 A Lab on Fire for women and men,white floral,130,citrus,113,musky,47,fresh spicy,42,aromatic,35,,,76,100,23,6,63,46,20,63,
21,A Lab on Fire,What We Do In Paris Is Secret A Lab on Fire for women and men,balsamic,130,powdery,124,vanilla,117,sweet,106,floral,89,honey,87,100,80,23,37,19,12,34,41,
22,A Lab on Fire,Mon Musc a Moi A Lab on Fire for women and men,sweet,130,floral,119,vanilla,113,musky,90,rose,85,,,100,64,42,64,50,50,57,78,
23,A Lab on Fire,One Night In Rio A Lab on Fire for women,white floral,130,fruity,124,sweet,102,fresh spicy,100,tropical,100,floral,94,71,100,42,1,57,42,14,71,
24,A Perfume Organic,Green A Perfume Organic for women and men,woody,130,yellow floral,93,warm spicy,80,rose,66,herbal,,,64,80,40,20,100,100,100,100,100,
