number,brand,name,woody,balsamic,powdery,warm spicy,citrus,rose,fruity,fresh spicy,sweet,amber,floral,aromatic,ozonic,green,musky,aquatic,yellow floral,cacao,fresh,white floral,vanilla,herbal,aldehydic,tropical,leather,salty,coca-cola,gourmand,honey,sour,marine,earthy,patchouli,terpenic,animalic,smoky,soapy,tuberose,soft spicy,tobacco,coffee,narcotic,oud,conifer,caramel,coconut,cherry,cinnamon,nutty,bitter,almond,savory,love,like,dislike,winter,spring,summer,autumn,day,night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A Bathing Ape,A Bathing Ape A Bathing Ape for women and men,130,91,78,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,25,100,25,50,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A Dozen Roses,Amber Queen A Dozen Roses for women,0,0,0,0,130,122,106,70,64,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,100,23,14,35,29,32,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A Dozen Roses,Angel Face A Dozen Roses for women,114,0,0,0,0,99,89,0,0,0,130,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100,29,22,38,51,54,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A Dozen Roses,Electron A Dozen Roses for women,0,0,0,0,0,93,0,0,0,0,0,0,130,125,73,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,80,100,33,80,86,33,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A Dozen Roses,Gold Rush A Dozen Roses for women,105,0,0,67,0,78,0,0,130,0,0,0,0,0,0,0,74,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,23,60,46,43,70,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A Dozen Roses,Iced White A Dozen Roses for women,0,0,0,0,0,76,33,0,0,0,130,0,0,0,50,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,69,46,69,53,53,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A Dozen Roses,Shakespeare in Love A Dozen Roses for women,62,0,0,0,0,109,60,0,55,0,0,0,0,0,0,0,0,0,0,130,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,100,61,34,50,42,38,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A La Russe,Rouge A La Russe for women,0,52,39,0,0,0,0,49,0,65,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A Lab on Fire,Almost Transparent Blue A Lab on Fire for women and men,90,0,0,0,130,0,0,81,0,0,0,79,0,0,0,0,0,0,0,0,0,57,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,75,18,30,84,96,36,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A Lab on Fire,Eau d`Ipanema A Lab on Fire for women and men,0,0,0,0,63,0,106,0,130,0,0,0,0,0,0,0,0,0,0,64,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,100,33,1,66,88,11,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A Lab on Fire,L'Anonyme ou OP-1475-A A Lab on Fire for women and men,78,0,0,0,75,0,0,130,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100,25,20,66,43,41,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A Lab on Fire,Liquidnight A Lab on Fire for women and men,76,78,0,0,69,0,0,86,0,0,0,130,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74,30,38,28,23,52,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A Lab on Fire,Messy Sexy Just Rolled out of Bed A Lab on Fire for women and men,0,89,88,0,0,0,0,0,127,0,115,81,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,10,40,30,20,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
